Kingdom	Phylum	Class	Order	Family	Genus	Species
TAXA_087	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA	NA	NA
TAXA_088	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea endophytica
TAXA_089	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp. LMG 9567t1
TAXA_090	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus glacialis
TAXA_091	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	unknown	nitrogen-fixing bacterium CC262C
TAXA_092	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Pectobacterium	NA
TAXA_093	Bacteria	Firmicutes	Bacilli	Bacillales	unknown	Exiguobacterium	Exiguobacterium antarcticum
TAXA_094	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter youngae
TAXA_095	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
TAXA_096	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter hormaechei
TAXA_097	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella	NA
TAXA_098	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas nasdae
TAXA_099	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. Kaza-37
TAXA_100	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Pectobacterium	Pectobacterium brasiliense
TAXA_101	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA	NA
TAXA_102	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter kobei
TAXA_103	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia albertii
TAXA_104	Bacteria	unknown	unknown	unknown	unknown	unknown	swine manure bacterium RT-19B
TAXA_105	Bacteria	Firmicutes	Bacilli	Bacillales	unknown	Exiguobacterium	Exiguobacterium oxidotolerans
TAXA_106	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella sp. P4
TAXA_107	Bacteria	unknown	unknown	unknown	unknown	unknown	bacterium L9
TAXA_108	Bacteria	unknown	unknown	unknown	unknown	unknown	bacterium L11
TAXA_109	Bacteria	unknown	unknown	unknown	unknown	unknown	bacterium K2-46
TAXA_110	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella variicola
TAXA_111	Bacteria	unknown	unknown	unknown	unknown	unknown	bacterium Te65R
TAXA_112	Bacteria	Firmicutes	Bacilli	Bacillales	unknown	Exiguobacterium	Exiguobacterium indicum
TAXA_113	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter ludwigii
TAXA_114	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia ureilytica
TAXA_115	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Kocuria	Kocuria aegyptia
TAXA_116	Bacteria	Firmicutes	Bacilli	Bacillales	unknown	Exiguobacterium	Exiguobacterium sibiricum
TAXA_117	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp. Antarctic IS04
TAXA_118	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sp. Z-16
TAXA_119	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Kocuria	Kocuria turfanensis
