	barcode01
Rickettsia peacockii	1
Rickettsia rhipicephali	23
Rickettsia rickettsii	721
Rickettsia sibirica	12
Rickettsia slovaca	26
Rossellomorea aquimaris	1
Rouxiella aceris	2
Salmonella bongori	34
Salmonella enterica	1914
Scandinavium goeteborgense	22
Serratia entomophila	2
Serratia grimesii	3
Serratia inhibens	1
Serratia liquefaciens	8
Serratia marcescens	677
Serratia nematodiphila	792
Serratia oryzae	1
Serratia proteamaculans	2
Serratia quinivorans	0
Serratia surfactantfaciens	412
Serratia ureilytica	3
Shigella boydii	5
Shigella dysenteriae	30
Shigella flexneri	272
Shigella sonnei	538
Shimwellia blattae	1
Simonsiella muelleri	1
Sinomonas soli	1
Sinorhizobium meliloti	1
Sodalis ligni	2
Spirochaeta cellobiosiphila	1
Spodiobacter cordis	1273
Staphylococcus argenteus	215
Staphylococcus aureus	372
Staphylococcus borealis	2
Staphylococcus caprae	1
Staphylococcus epidermidis	2
Staphylococcus roterodami	1251
Staphylococcus schweitzeri	30
Staphylococcus simiae	14
Staphylococcus succinus	2
Stenotrophomonas cyclobalanopsidis	1
Stenotrophomonas geniculata	4
Stenotrophomonas maltophilia	1714
Stenotrophomonas pavanii	160
Streptococcus anginosus	1
Streptococcus australis	116
Streptococcus canis	3
Streptococcus castoreus	1
Streptococcus catagoni	1
Streptococcus chosunense	1
Streptococcus constellatus	7
Streptococcus cristatus	29
Streptococcus cuniculipharyngis	3
Streptococcus danieliae	3
Streptococcus didelphis	5
Streptococcus downei	1
Streptococcus downii	48
Streptococcus dysgalactiae	1
Streptococcus equi	1
Streptococcus equinus	1
Streptococcus gallinaceus	2
Streptococcus gallolyticus	1
Streptococcus gordonii	3
Streptococcus gwangjuense	3
Streptococcus himalayensis	5
Streptococcus hyointestinalis	0
Streptococcus ictaluri	1
Streptococcus ilei	55
Streptococcus infantis	92
Streptococcus iniae	0
Streptococcus intermedius	1
Streptococcus koreensis	30
Streptococcus lactarius	6
Streptococcus loxodontisalivarius	2
Streptococcus lutetiensis	3
Streptococcus massiliensis	3
Streptococcus mitis	43
Streptococcus oralis	912
Streptococcus oricebi	3
Streptococcus oriscaviae	4
Streptococcus orisratti	1
Streptococcus panodentis	14
Streptococcus parasanguinis	8
Streptococcus parasuis	3
Streptococcus penaeicida	1
Streptococcus periodonticum	53
Streptococcus peroris	10
Streptococcus phocae	0
Streptococcus plurextorum	1
Streptococcus pneumoniae	1762
Streptococcus porcorum	1
Streptococcus pseudopneumoniae	20
Streptococcus pyogenes	1890
Streptococcus rubneri	19
Streptococcus rupicaprae	1
Streptococcus salivarius	5
Streptococcus sanguinis	17
Streptococcus shenyangsis	29
Streptococcus suis	6
Streptococcus symci	15
Streptococcus thermophilus	1
Streptococcus timonensis	91
Streptococcus toyakuensis	196
Streptococcus troglodytidis	2
Streptococcus vestibularis	1
Streptococcus vicugnae	3
Streptococcus vulneris	36
Streptococcus zalophi	2
Stutzerimonas stutzeri	1
Superficieibacter electus	3
Symbiopectobacterium purcellii	7
Tatumella punctata	1
Trabulsiella guamensis	1
Trichococcus palustris	1
Trichococcus pasteurii	2
Unknown	313
Ureibacillus xyleni	2
Urinicoccus massiliensis	2
Urinicoccus timonensis	31
Vescimonas coprocola	1
Wujia chipingensis	1897
Xenorhabdus kozodoii	1
Yersinia aldovae	3
Yersinia artesiana	5
Yersinia canariae	134
Yersinia enterocolitica	401
Yersinia entomophaga	1
Yersinia frederiksenii	4
Yersinia hibernica	1232
Yersinia intermedia	1
Yersinia kristensenii	1
Yersinia mollaretii	1
Yersinia nurmii	3
Yersinia pekkanenii	5
Yersinia rochesterensis	1
Yersinia rohdei	61
Yersinia similis	1
Yersinia thracica	28
Yersinia vastinensis	9
Yokenella regensburgei	26
[Bacteroides] pectinophilus	1
[Clostridium] innocuum	1909
[Haemophilus] ducreyi	1900
[Haemophilus] piscium	5
[Pasteurella] mairii	1
[Pseudomonas] hibiscicola	13
