	barcode01
Rickettsia parkeri	2
Rickettsia peacockii	1
Rickettsia rhipicephali	23
Rickettsia rickettsii	763
Rickettsia sibirica	15
Rickettsia slovaca	27
Rossellomorea aquimaris	1
Rouxiella aceris	2
Salmonella bongori	35
Salmonella enterica	2004
Scandinavium goeteborgense	22
Serratia entomophila	2
Serratia grimesii	3
Serratia inhibens	2
Serratia liquefaciens	8
Serratia marcescens	719
Serratia nematodiphila	826
Serratia oryzae	1
Serratia proteamaculans	2
Serratia quinivorans	1
Serratia surfactantfaciens	434
Serratia ureilytica	3
Shigella boydii	5
Shigella dysenteriae	31
Shigella flexneri	288
Shigella sonnei	564
Shimwellia blattae	1
Simonsiella muelleri	1
Sinomonas soli	1
Sinorhizobium meliloti	1
Sodalis ligni	2
Spirochaeta cellobiosiphila	1
Spodiobacter cordis	1336
Staphylococcus argenteus	225
Staphylococcus aureus	397
Staphylococcus borealis	3
Staphylococcus caprae	1
Staphylococcus epidermidis	2
Staphylococcus roterodami	1322
Staphylococcus schweitzeri	32
Staphylococcus simiae	15
Staphylococcus succinus	2
Stenotrophomonas cyclobalanopsidis	1
Stenotrophomonas geniculata	6
Stenotrophomonas maltophilia	1811
Stenotrophomonas pavanii	169
Streptococcus anginosus	1
Streptococcus australis	119
Streptococcus canis	4
Streptococcus castoreus	1
Streptococcus catagoni	1
Streptococcus chosunense	1
Streptococcus constellatus	8
Streptococcus cristatus	31
Streptococcus cuniculipharyngis	3
Streptococcus danieliae	3
Streptococcus didelphis	5
Streptococcus downei	1
Streptococcus downii	51
Streptococcus dysgalactiae	1
Streptococcus equi	1
Streptococcus equinus	1
Streptococcus gallinaceus	2
Streptococcus gallolyticus	1
Streptococcus gordonii	3
Streptococcus gwangjuense	4
Streptococcus himalayensis	5
Streptococcus hyointestinalis	1
Streptococcus ictaluri	1
Streptococcus ilei	60
Streptococcus infantis	97
Streptococcus iniae	1
Streptococcus intermedius	1
Streptococcus koreensis	33
Streptococcus lactarius	6
Streptococcus loxodontisalivarius	3
Streptococcus lutetiensis	3
Streptococcus massiliensis	3
Streptococcus mitis	47
Streptococcus oralis	955
Streptococcus oricebi	3
Streptococcus oriscaviae	4
Streptococcus orisratti	1
Streptococcus panodentis	17
Streptococcus parasanguinis	10
Streptococcus parasuis	3
Streptococcus penaeicida	1
Streptococcus periodonticum	58
Streptococcus peroris	12
Streptococcus phocae	1
Streptococcus plurextorum	1
Streptococcus pneumoniae	1849
Streptococcus porcorum	1
